date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:38:07	453040/453040	---M--	200	added ('OK')	image/jpeg	etag:%226e9b0-5e432a74ea480%22	http://www.kyoto-be.ne.jp/yamashiro-hs/mt/club/images/dance220720-8.jpeg	E:/CloneWWeb/tottori/tottori/www.kyoto-be.ne.jp/yamashiro-hs/mt/club/images/dance220720-8.jpg	(from https://www.kyoto-be.ne.jp/yamashiro-hs/mt/club/sports/s8/cat/)
15:38:17	1343363/1343363	---M--	200	added ('OK')	image/jpeg	etag:%22147f83-5e43277535140%22	http://www.kyoto-be.ne.jp/yamashiro-hs/mt/club/images/dance220720-7.jpeg	E:/CloneWWeb/tottori/tottori/www.kyoto-be.ne.jp/yamashiro-hs/mt/club/images/dance220720-7.jpg	(from https://www.kyoto-be.ne.jp/yamashiro-hs/mt/club/sports/s8/cat/)
15:38:43	1776639/1776639	---M--	200	added ('OK')	image/jpeg	etag:%221b1bff-5e432b9304780%22	http://www.kyoto-be.ne.jp/yamashiro-hs/mt/club/images/dance220720-11.jpeg	E:/CloneWWeb/tottori/tottori/www.kyoto-be.ne.jp/yamashiro-hs/mt/club/images/dance220720-11.jpg	(from https://www.kyoto-be.ne.jp/yamashiro-hs/mt/club/sports/s8/cat/)
15:40:05	2375573/2375573	---M--	200	added ('OK')	image/jpeg	etag:%22243f95-5e43273b08800%22	http://www.kyoto-be.ne.jp/yamashiro-hs/mt/club/images/dance220720-6.jpeg	E:/CloneWWeb/tottori/tottori/www.kyoto-be.ne.jp/yamashiro-hs/mt/club/images/dance220720-6.jpg	(from https://www.kyoto-be.ne.jp/yamashiro-hs/mt/club/sports/s8/cat/)
15:42:16	1538847/1538847	---M--	200	added ('OK')	image/jpeg	etag:%22177b1f-5e348f474d080%22	http://www.kyoto-be.ne.jp/yamashiro-hs/mt/club/images/dance2207081.jpeg	E:/CloneWWeb/tottori/tottori/www.kyoto-be.ne.jp/yamashiro-hs/mt/club/images/dance2207081.jpg	(from https://www.kyoto-be.ne.jp/yamashiro-hs/mt/club/sports/s8/cat/)
15:42:20	88260/88260	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202025%2001:04:59%20GMT	https://www.kyoto-be.ne.jp/yamashiro-hs/mt/club/sports/s8/cat/index_2.html	E:/CloneWWeb/tottori/tottori/www.kyoto-be.ne.jp/yamashiro-hs/mt/club/sports/s8/cat/index_2.html	(from https://www.kyoto-be.ne.jp/yamashiro-hs/mt/club/sports/s8/cat/)
15:42:24	77085/77085	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202025%2001:04:59%20GMT	https://www.kyoto-be.ne.jp/yamashiro-hs/mt/club/sports/s8/cat/index_3.html	E:/CloneWWeb/tottori/tottori/www.kyoto-be.ne.jp/yamashiro-hs/mt/club/sports/s8/cat/index_3.html	(from https://www.kyoto-be.ne.jp/yamashiro-hs/mt/club/sports/s8/cat/)
15:42:28	58931/58931	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202025%2001:04:59%20GMT	https://www.kyoto-be.ne.jp/yamashiro-hs/mt/club/sports/s8/cat/index_4.html	E:/CloneWWeb/tottori/tottori/www.kyoto-be.ne.jp/yamashiro-hs/mt/club/sports/s8/cat/index_4.html	(from https://www.kyoto-be.ne.jp/yamashiro-hs/mt/club/sports/s8/cat/)
15:42:41	1649320/1649320	---M--	200	added ('OK')	image/jpeg	etag:%22192aa8-5e348fa5b6f40%22	http://www.kyoto-be.ne.jp/yamashiro-hs/mt/club/images/dance2207082.jpeg	E:/CloneWWeb/tottori/tottori/www.kyoto-be.ne.jp/yamashiro-hs/mt/club/images/dance2207082.jpg	(from https://www.kyoto-be.ne.jp/yamashiro-hs/mt/club/sports/s8/cat/)
15:43:12	1185692/1185692	---M--	200	added ('OK')	image/jpeg	etag:%2212179c-5e34908203700%22	http://www.kyoto-be.ne.jp/yamashiro-hs/mt/club/images/dance2207084.jpeg	E:/CloneWWeb/tottori/tottori/www.kyoto-be.ne.jp/yamashiro-hs/mt/club/images/dance2207084.jpg	(from https://www.kyoto-be.ne.jp/yamashiro-hs/mt/club/sports/s8/cat/)
15:43:22	33309/33309	---M--	200	added ('OK')	image/jpeg	etag:%22821d-58f6d0b384e80%22	https://www.kyoto-be.ne.jp/yamashiro-hs/mt/club/assets_c/2019/08/rikujyo201907314-thumb-460xauto-125416.jpeg	E:/CloneWWeb/tottori/tottori/www.kyoto-be.ne.jp/yamashiro-hs/mt/club/assets_c/2019/08/rikujyo201907314-thumb-460xauto-125416.jpg	(from https://www.kyoto-be.ne.jp/yamashiro-hs/mt/club/sports/s9/cat/)
